Gmt time,Ask,Bid,AskVolume,BidVolume
2021-08-26 00:00:00,4496.8634999999995,4496.245000000001,2709.9999,4499.9998
2021-08-26 00:00:02,4496.755,4496.066000000001,4499.9998,5389.9998
2021-08-26 00:00:12,4496.4580000000005,4495.742,4499.9998,5389.9998
2021-08-26 00:00:14,4496.246,4495.548,2249.9999,2249.9999
2021-08-26 00:00:17,4496.03875,4495.3994999999995,7209.999699999999,9889.9996
2021-08-26 00:00:28,4495.934,4495.2375,4499.9998,5389.9998
2021-08-26 00:00:29,4496.076000000001,4495.5495,2709.9999,4499.9998
2021-08-26 00:00:36,4496.356,4495.7405,2709.9999,4499.9998
2021-08-26 00:00:38,4496.6075,4496.0495,2709.9999,4499.9998
2021-08-26 00:00:39,4496.460999999999,4495.7405,4499.9998,5389.9998
2021-08-26 00:00:42,4496.755,4496.039000000001,2249.9999,2249.9999
2021-08-26 00:00:47,4496.4235,4495.766,4499.9998,5389.9998
2021-08-26 00:00:53,4496.261,4495.539000000001,4499.9998,5389.9998
2021-08-26 00:00:55,4495.946,4495.236,2249.9999,2249.9999
2021-08-26 00:00:58,4495.761,4495.0375,4499.9998,5389.9998
2021-08-26 00:01:07,4495.83425,4495.19575,5419.9998,8999.9996
2021-08-26 00:01:08,4495.758,4495.040500000001,4499.9998,5389.9998
2021-08-26 00:01:10,4495.787,4495.107666666667,4959.9998,6749.999699999999
2021-08-26 00:01:15,4495.50275,4494.895,7209.999699999999,9889.9996
2021-08-26 00:01:17,4495.36175,4494.662249999999,8999.9996,10779.9996
2021-08-26 00:01:19,4494.964,4494.245,2249.9999,2249.9999
2021-08-26 00:01:21,4495.0434000000005,4494.401400000001,9459.9996,12139.999499999998
2021-08-26 00:01:22,4495.206,4494.5375,2709.9999,4499.9998
2021-08-26 00:01:25,4495.356,4494.742,2709.9999,4499.9998
2021-08-26 00:01:32,4495.2294999999995,4494.539000000001,4499.9998,5389.9998
2021-08-26 00:01:39,4495.349,4494.6735,4499.9998,5389.9998
2021-08-26 00:01:54,4495.6045,4495.045,2709.9999,4499.9998
2021-08-26 00:01:56,4495.8544999999995,4495.236000000001,2709.9999,4499.9998
2021-08-26 00:02:04,4495.795749999999,4495.1525,7209.999699999999,9889.9996
2021-08-26 00:02:07,4495.755,4495.036,2249.9999,2249.9999
2021-08-26 00:02:09,4495.804,4495.155500000001,7209.999699999999,9889.9996
2021-08-26 00:02:27,4495.464,4494.754,2249.9999,2249.9999
2021-08-26 00:02:44,4495.576,4495.039000000001,2709.9999,4499.9998
2021-08-26 00:02:46,4495.460999999999,4494.7465,4499.9998,5389.9998
2021-08-26 00:02:47,4495.610500000001,4495.066000000001,2709.9999,4499.9998
2021-08-26 00:02:54,4495.455,4494.7405,4499.9998,5389.9998
2021-08-26 00:03:00,4495.6075,4495.036,2709.9999,4499.9998
2021-08-26 00:03:13,4495.452,4494.745,2249.9999,2249.9999
2021-08-26 00:03:19,4495.267,4494.599,2249.9999,2249.9999
2021-08-26 00:03:38,4494.9310000000005,4494.2495,4499.9998,5389.9998
2021-08-26 00:03:46,4495.0805,4494.5419999999995,2709.9999,4499.9998
2021-08-26 00:03:54,4494.9565,4494.266,4499.9998,5389.9998
2021-08-26 00:03:55,4495.106,4494.539000000001,2709.9999,4499.9998
2021-08-26 00:03:57,4494.960999999999,4494.2675,4499.9998,5389.9998
2021-08-26 00:04:10,4495.110500000001,4494.5495,2709.9999,4499.9998
2021-08-26 00:04:11,4494.9625,4494.2345000000005,4499.9998,5389.9998
2021-08-26 00:04:33,4495.035,4494.3965,7209.999699999999,9889.9996
2021-08-26 00:04:34,4495.1,4494.5495,2709.9999,4499.9998
2021-08-26 00:04:37,4494.9655,4494.273499999999,4499.9998,5389.9998
2021-08-26 00:05:01,4495.188999999999,4494.534666666666,4959.9998,6749.999699999999
2021-08-26 00:05:08,4494.9235,4494.2465,4499.9998,5389.9998
2021-08-26 00:05:10,4495.133250000001,4494.49125,5419.9998,8999.9996
2021-08-26 00:06:02,4495.3485,4494.745,2709.9999,4499.9998
2021-08-26 00:06:03,4495.255,4494.5435,4499.9998,5389.9998
2021-08-26 00:06:10,4494.925,4494.269,4499.9998,5389.9998
2021-08-26 00:06:11,4494.9935000000005,4494.3457499999995,7209.999699999999,9889.9996
2021-08-26 00:06:14,4494.7565,4494.069,4499.9998,5389.9998
2021-08-26 00:06:40,4494.8245,4494.2705000000005,2709.9999,4499.9998
2021-08-26 00:06:44,4494.758,4494.0405,4499.9998,5389.9998
2021-08-26 00:06:46,4494.815333333334,4494.1435,9919.9996,14389.999399999997
2021-08-26 00:06:52,4494.790500000001,4494.111666666667,9919.9996,14389.999399999997
2021-08-26 00:06:53,4494.898499999999,4494.2390000000005,2709.9999,4499.9998
2021-08-26 00:07:00,4494.780166666667,4494.125166666666,11709.999499999998,15279.999399999997
2021-08-26 00:07:16,4494.8135,4494.1435,2709.9999,4499.9998
2021-08-26 00:07:17,4494.755000000001,4494.0435,4499.9998,5389.9998
2021-08-26 00:07:18,4494.785,4494.1435,2709.9999,4499.9998
2021-08-26 00:07:19,4494.952,4494.242,2249.9999,2249.9999
2021-08-26 00:07:33,4494.8265,4494.1404999999995,4499.9998,5389.9998
2021-08-26 00:07:34,4494.7565,4494.039000000001,4499.9998,5389.9998
2021-08-26 00:08:01,4494.8575,4494.2675,2709.9999,4499.9998
2021-08-26 00:08:02,4494.7505,4494.040500000001,4499.9998,5389.9998
2021-08-26 00:08:22,4494.8305,4494.2375,2709.9999,4499.9998
2021-08-26 00:08:31,4494.764,4494.099,2249.9999,3139.9999
2021-08-26 00:08:32,4494.701,4494.039000000001,2249.9999,2249.9999
2021-08-26 00:08:39,4494.862,4494.245,2709.9999,4499.9998
2021-08-26 00:08:48,4495.1134999999995,4494.542,2709.9999,4499.9998
2021-08-26 00:08:57,4495.101,4494.442,2249.9999,3139.9999
2021-08-26 00:08:58,4495.170999999999,4494.504666666667,4959.9998,6749.999699999999
2021-08-26 00:09:01,4495.0335,4494.405500000001,7209.999699999999,9889.9996
2021-08-26 00:09:08,4494.9505,4494.2435000000005,4499.9998,5389.9998
